Country,City,Weekday mean,Weekend mean,Daily mean,Year
PT,Almada,263.08,210.69,233.14,2020-01-01
ES,Molina de Segura,226.28,237.66,232.78,2015-01-01
CH,Berne,207.3,245.16,228.93,2015-01-01
CH,Lugano,225.15,230.99,228.49,2015-01-01
CY,Nicosia,207.53,237.26,224.52,2019-01-01
BE,Brussels,231.52,218.02,223.81,2013-01-01
AT,Innsbruck,186.49,250.0,222.78,2017-01-01
CH,St. Gallen Hofen,183.78,251.45,222.45,2012-01-01
NL,Utrecht,240.35,205.1,220.2,2014-01-01
PT,Porto,197.12,236.26,219.48,2018-01-01
NO,Oslo,173.76,253.37,219.25,2019-01-01
DK,Copenhagen,174.43,251.64,218.55,2013-01-01
DE,Stuttgart,180.27,253.36,216.82,2017-01-01
HR,Zagreb,180.46,243.13,216.27,2017-01-01
AT,Wasserverband Hofsteig,172.33,248.33,215.76,2019-01-01
FR,Paris Seine Centre,136.88,274.32,215.42,2012-01-01
SE,Stockholm (2),170.22,241.98,211.23,2019-01-01
ES,Santiago,149.82,272.62,211.22,2011-01-01
NO,Oslo,154.22,253.0,210.67,2018-01-01
AT,Hall-Wattens,196.07,221.02,210.32,2020-01-01
IT,Milan,198.86,214.94,208.05,2014-01-01
FR,Paris Seine Centre,189.12,219.18,206.3,2011-01-01
ES,Castellon,155.19,244.59,206.28,2014-01-01
IT,Milan,183.77,222.88,206.12,2015-01-01
AT,Hall-Wattens,172.06,225.15,202.4,2019-01-01
FR,Bordeaux I,107.7,272.05,201.61,2018-01-01
NL,Utrecht,140.99,242.78,199.16,2013-01-01
AT,Wasserverband Hofsteig,150.76,231.1,196.67,2020-01-01
DE,Saarbrucken (2),187.39,197.94,193.42,2017-01-01
AT,Hall-Wattens,165.59,213.23,192.81,2018-01-01
DE,Berlin (4),163.27,212.97,191.67,2014-01-01
DE,Munich Gut_Grosslappen,215.77,175.03,191.33,2020-01-01
BE,Brussels,149.2,215.69,187.19,2012-01-01
DE,Munich Gut_Grosslappen,152.88,212.7,187.06,2018-01-01
BE,Brussels,150.15,209.95,184.32,2011-01-01
DE,Saarbrucken (2),156.12,205.02,184.06,2018-01-01
AT,Wasserverband Hofsteig,133.62,218.07,181.88,2018-01-01
DE,Magdeburg,165.99,191.89,180.79,2020-01-01
SI,Domžale-Kamnik,111.07,222.53,174.76,2018-01-01
ES,Castellon,140.59,199.95,174.51,2013-01-01
DE,Saarbrucken (2),154.33,185.55,172.17,2019-01-01
FR,Paris Seine Centre,137.19,193.9,169.6,2016-01-01
DE,Berlin (4),160.76,175.52,169.2,2015-01-01
DE,Saarbrucken (2),147.64,182.4,167.51,2020-01-01
ES,Santiago,153.43,173.98,165.17,2014-01-01
PT,Almada,154.11,168.87,162.54,2019-01-01
HR,Zagreb,124.93,190.35,162.32,2016-01-01
AT,Innsbruck,127.75,187.62,161.96,2016-01-01
FR,Paris Seine Centre,124.19,189.59,161.56,2015-01-01
SI,Domžale-Kamnik,153.46,167.32,161.38,2020-01-01
PT,Porto,136.28,178.17,160.22,2017-01-01
SI,Velenje,153.7,158.81,156.62,2019-01-01
AT,Graz,124.5,176.46,154.19,2019-01-01
CY,Limassol,137.36,165.54,153.46,2016-01-01
NO,Oslo,114.37,179.31,151.48,2015-01-01
SI,Velenje,128.25,163.05,148.13,2020-01-01
NL,Utrecht,148.21,148.03,148.1,2015-01-01
AT,Kapfenberg,136.35,154.04,146.46,2020-01-01
BE,Oostende,125.64,159.76,145.14,2017-01-01
SE,Stockholm (2),106.53,172.35,144.14,2016-01-01
ES,Santiago,111.86,165.78,142.68,2016-01-01
DE,Munich Gut_Grosslappen,109.23,163.36,140.16,2017-01-01
SI,Maribor,124.18,151.31,139.68,2020-01-01
BE,Oostende,102.19,166.92,139.17,2018-01-01
NO,Oslo,121.09,164.37,138.4,2016-01-01
AT,Graz,98.53,168.0,138.22,2020-01-01
PT,Almada,69.55,187.23,136.79,2018-01-01
DE,Magdeburg,113.66,153.16,136.23,2017-01-01
DE,Rostock,117.93,149.79,136.13,2017-01-01
ES,Santiago,98.48,162.57,135.1,2015-01-01
DE,Dülmen,105.81,156.53,134.79,2020-01-01
ES,Santiago,103.78,150.03,130.21,2013-01-01
DE,Dülmen,83.24,164.29,129.55,2019-01-01
DE,Mainz,116.86,137.16,128.46,2017-01-01
ES,Castellon,84.59,158.18,126.64,2015-01-01
RS,Novi Sad,134.55,119.5,125.95,2020-01-01
AT,Strass im Zillertal,97.09,140.88,122.11,2020-01-01
DE,Dülmen,68.01,153.57,116.9,2018-01-01
BE,Ninove,91.65,106.09,114.17,2014-01-01
DE,Munich Gut_Grosslappen,94.7,128.11,113.79,2016-01-01
DE,Dülmen,84.19,131.83,111.41,2017-01-01
BE,Koksijde,121.54,102.82,110.84,2019-01-01
